Module                  Size  Used by
ext4                 1142784  2
crc16                  12288  2 bluetooth,ext4
mbcache                16384  1 ext4
jbd2                  200704  1 ext4
crc32c_generic         12288  0
dm_crypt               65536  2
dm_mod                221184  8 dm_crypt
r8153_ecm              12288  0
cdc_ether              24576  1 r8153_ecm
usbnet                 65536  2 r8153_ecm,cdc_ether
r8152                 151552  1 r8153_ecm
mii                    16384  2 usbnet,r8152
libphy                233472  1 r8152
ahci                   49152  0
libahci                61440  1 ahci
crct10dif_pclmul       12288  1
libata                462848  2 libahci,ahci
crc32_pclmul           12288  0
nvme                   57344  4
crc32c_intel           16384  5
ghash_clmulni_intel    16384  0
nvme_core             225280  6 nvme,nvme_fabrics
sha512_ssse3           53248  1
scsi_mod              327680  1 libata
hid_multitouch         36864  0
spi_pxa2xx_platform    12288  0
hid_generic            12288  0
dw_dmac                12288  0
sha256_ssse3           32768  0
nvme_auth              24576  1 nvme_core
dw_dmac_core           40960  1 dw_dmac
scsi_common            16384  2 scsi_mod,libata
sha1_ssse3             32768  0
spi_pxa2xx_core        32768  1 spi_pxa2xx_platform
i2c_hid_acpi           12288  0
i2c_hid                45056  1 i2c_hid_acpi
xhci_pci               24576  0
hid                   262144  3 i2c_hid,hid_multitouch,hid_generic
iTCO_wdt               16384  0
intel_pmc_bxt          16384  1 iTCO_wdt
xhci_hcd              364544  1 xhci_pci
aesni_intel           122880  4
iTCO_vendor_support    12288  1 iTCO_wdt
watchdog               49152  1 iTCO_wdt
gf128mul               16384  1 aesni_intel
drm                   774144  13 gpu_sched,i2c_hid,drm_kms_helper,drm_exec,drm_gpuvm,drm_suballoc_helper,drm_display_helper,drm_buddy,drm_ttm_helper,xe,i915,ttm
crypto_simd            16384  1 aesni_intel
usbcore               409600  9 xhci_hcd,usbnet,btmtk,r8153_ecm,uvcvideo,btusb,xhci_pci,cdc_ether,r8152
i2c_i801               36864  0
cryptd                 28672  4 crypto_simd,ghash_clmulni_intel
i2c_smbus              16384  1 i2c_i801
intel_lpss_pci         28672  2
serio_raw              16384  0
intel_lpss             12288  1 intel_lpss_pci
idma64                 20480  0
usb_common             16384  3 xhci_hcd,usbcore,uvcvideo
vmd                    24576  0
video                  81920  4 asus_wmi,asus_nb_wmi,xe,i915
battery                28672  1 asus_wmi
wmi                    28672  3 video,asus_wmi,wmi_bmof
